"","","25%","50%","75%",""
"Nf6",0,0.561245255938449,0.604978429365386,0.669178914574922,1
"d5",0,0.183655125399311,0.240309567533219,0.268874179573012,1
"d6",0,0.0300508147186578,0.0326588128715442,0.035572240067216,1
"e6",0,0.0429032845133889,0.0462718188104587,0.0482236015063921,1
"f5",0,0.0252855285362809,0.0305930160201458,0.0352260243141413,1
"g6",0,0.0264058539494225,0.0284494864340565,0.0328321608808983,1
"other",0,0.0133407550227594,0.0181722604957641,0.0218856822894575,1
